Year,Date,Host,City,Venue,Rank,University,Country,Team,Contestant 1,Contestant 2,Contestant 3,Gold,Silver,Bronze,Honorable,Score,Total,Score Percentage,Penalty,Prize
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,1,Peking University,China,reborn as a vegetable dog,Lingyu Jiang,Yuxiang Luo,Zhanpeng Wang,True,False,False,False,10,11,0.91,1513,"World Champion, Asia East Champion"
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,2,Massachusetts Institute of Technology,United States,MIT CopyPaste,Anton Trygub,Mingyang Deng,Ziqian Zhong,True,False,False,False,9,11,0.82,816,North America Champion
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,3,National Research University Higher School of Economics,Russia,Undertrained+Overpressured,Ivan Safonov,Maksim Gorokhovskii,Timofei Fedoseev,True,False,False,False,9,11,0.82,930,Northern Eurasia Champion
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,4,University of Oxford,United Kingdom,Oxford Blues,Harris Leung,Radostin Chonev,Viktor Kozhuharov,True,False,False,False,9,11,0.82,1015,Europe Champion
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,5,Moscow Institute of Physics and Technology,Russia,Log-rank conjecture,Alexander Shekhovtsov,Anton Sadovnichiy,Dmitry Grigoryev,False,True,False,False,9,11,0.82,1186,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,6,Seoul National University,South Korea,FSM,Gyojun Youn,Minje Lee,Sebin Kim,False,True,False,False,9,11,0.82,1200,Asia Pacific Champion
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,7,Taras Shevchenko National University of Kyiv,Ukraine,KNU_0_GB_RAM,Kostiantyn Lutsenko,Kostiantyn Savchuk,Vladyslav Zavodnyk,False,True,False,False,9,11,0.82,1282,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,8,University of Wisconsin-Madison,United States,Longest SubRoutine,Mingrui Liu,Nitit Jongsawatsataporn,Ziyi Zhang,False,True,False,False,8,11,0.73,1048,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,9,The University of Tokyo,Japan,UT a.k.a Is,Hirotaka Isa,Takuya Inoue,Yuta Takaya,False,False,True,False,8,11,0.73,1084,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,10,Tsinghua University,China,Black moonrise,Junzhao Yang,Sunli Chen,Yixuan Xu,False,False,True,False,8,11,0.73,1195,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,11,Nanjing University of Posts and Telecommunications,China,Citrus,Lehan He,Yixin Chen,Yizhou Zhao,False,False,True,False,8,11,0.73,1212,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,12,National Taiwan University,Taiwan,ckiseki,Ping-Hsuan Lin,PoYu Chou,Yu-Hsun Chiang,False,False,True,False,8,11,0.73,1325,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,13,Georgia Institute of Technology,United States,Days of Future Past,Jingbang Chen,Yu Gao,,False,False,False,True,7,11,0.64,693,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,14,Nanjing University,China,Unreal Eventide,Fengning Ou,Qicheng Shan,Tianxing Ding,False,False,False,True,7,11,0.64,700,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,15,Union University - Faculty of Computer Science,Serbia,GII Klub,Aleksa Milisavljevic,Mladen Puzic,Pavle Martinovic,False,False,False,True,7,11,0.64,719,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,16,St. Petersburg ITMO University,Russia,pengzoo,Mikhail Perveev,Nikita Golikov,Zakhar Iakovlev,False,False,False,True,7,11,0.64,819,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,17,Beijing Institute of Technology,China,ddl VS pigeon,Kai Lin,Zhiqiu Zou,Zilin Zhu,False,False,False,True,7,11,0.64,832,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,18,University of Waterloo,Canada,Waterloo Gold,Chris Trevisan,Marian Dietz,Wen Yuen Pang,False,False,False,True,7,11,0.64,839,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,19,St. Petersburg Campus of Higher School of Economics,Russia,Chatik,Anton Ermilov,Konstantin Makhnev,Vasily Alferov,False,False,False,True,7,11,0.64,849,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,20,Belarusian State University,Belarus,BelarusianSU #2,Aliaksandr Kernazhytski,Mikhail Natalevich,Stanislau Tsitsianok,False,False,False,True,7,11,0.64,1013,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,21,Yerevan State University,Armenia,Yerevan SU 2813,Arsen Hambardzumyan,Levon Muradyan,Vahagn Altunyan,False,False,False,True,7,11,0.64,1023,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,22,Carnegie Mellon University,United States,CMU1,Aditya Sundaram,Dilhan Salgado,Yijun Chen,False,False,False,True,7,11,0.64,1026,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,23,University of Central Florida,United States,UCF Cactus,Daniel West,Jacob Magnuson,Seba Villalobos,False,False,False,True,7,11,0.64,1030,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,24,Soongsil University,South Korea,LongestPathToWF,Joowon Oh,Seongseo Lee,YongHyun An,False,False,False,True,7,11,0.64,1165,
2022,2024-04-18,Egypt,Luxor,Jolie Ville Resort & SPA Kings Island Luxor,25,University of Wroclaw,Poland,UWr 1,Adam Górkiewicz,Anadi Agrawal,Łukasz Pluta,False,False,False,True,7,11,0.64,1225,
