Year,Date,Host,City,Venue,Rank,University,Country,Team,Contestant 1,Contestant 2,Contestant 3,Gold,Silver,Bronze,Honorable,Score,Total,Score Percentage,Penalty,Prize
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,1,Peking University,China,Naive Birds,Anyi Xu,Weicheng Wang,Xiangwen Wang,True,False,False,False,9,12,0.75,935,"World Champion, Asia East Champion"
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,2,Moscow Institute of Physics and Technology,Russia,Yolki-palki,Denis Mustafin,Tikhon Evteev,Vsevolod Nagibin,True,False,False,False,9,12,0.75,1212,Northern Eurasia Champion
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,3,Tsinghua University,China,All the Way North,Hangrui Zhou,Shaoxuan Tang,Tingqiang Xu,True,False,False,False,9,12,0.75,1218,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,4,Tokyo Institute of Technology,Japan,tonosama,Kosuke Kaneshita,Riku Kishida,Yasunori Kinoshita,True,False,False,False,9,12,0.75,1322,Asia Pacific Champion
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,5,KAIST,South Korea,Penguins,Eunsoo Choe,Jongyoung Lee,Sungjae Im,False,True,False,False,8,12,0.67,868,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,6,National University of Singapore,Singapore,absinthe,Hong Duc Bui,Nyamdavaa Amar,Rama Aryasuta Pangestu,False,True,False,False,8,12,0.67,934,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,7,Beijing Jiaotong University,China,miemiemie,Heming Xia,Xiuyuan Si,Yuzhe Guo,False,True,False,False,8,12,0.67,960,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,8,The University of Tokyo,Japan,Speed Star,Akihito Yoneyama,Kentaro Matsushita,Ryomei Sugai,False,True,False,False,8,12,0.67,1031,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,9,Seoul National University,South Korea,NewTrend,Hyunseo Jeong,Jaemin Park,Seohyun Choi,False,False,True,False,8,12,0.67,1112,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,10,Zhejiang University,China,Prismatic Encore,Changdong Li,Jiachen Tang,Weinuo Li,False,False,True,False,8,12,0.67,1166,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,11,Massachusetts Institute of Technology,United States,MIT Isn't Training,Jiangqi Dai,Ziqian Zhong,Zixiang Zhou,False,False,True,False,8,12,0.67,1324,North America Champion
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,12,Swarthmore College,United States,cout<<1/0<<endl;,Jay Leeds,Runze Wang,Timothy Mou,False,False,True,False,7,12,0.58,605,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,13,Kyoto University,Japan,KUB1sharp,Masahiro Inoue,Yasutaka Hiraki,Yuta Azumaya,False,False,False,True,7,12,0.58,898,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,14,University of Science and Technology of China,China,Xitao Village Team of Silk-road City,Wenjie Hong,Yihang Guo,ZhaiEnHe Zhou,False,False,False,True,7,12,0.58,954,
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,15,University of Zagreb,Croatia,Zagreb,Dorijan Lendvaj,Krešimir Nežmah,Patrick Pavić,False,False,False,True,7,12,0.58,982,Europe Champion
2024,2024-09-19,Kazakhstan,Astana,Astana EXPO,16,Jagiellonian University in Krakow,Poland,Jagiellonian teapots,Antoni Długosz,Kacper Paciorek,Kacper Topolski,False,False,False,True,7,12,0.58,1000,
